cond_idx,beta,h,J
0,0.300000,-2.000000,-1.500000
1,0.300000,-2.000000,-0.500000
2,0.300000,-2.000000,0.500000
3,0.300000,-2.000000,1.500000
4,0.300000,-1.000000,-1.500000
5,0.300000,-1.000000,-0.500000
6,0.300000,-1.000000,0.500000
7,0.300000,-1.000000,1.500000
8,0.300000,0.000000,-1.500000
9,0.300000,0.000000,-0.500000
10,0.300000,0.000000,0.500000
11,0.300000,0.000000,1.500000
12,0.300000,1.000000,-1.500000
13,0.300000,1.000000,-0.500000
14,0.300000,1.000000,0.500000
15,0.300000,1.000000,1.500000
16,0.300000,2.000000,-1.500000
17,0.300000,2.000000,-0.500000
18,0.300000,2.000000,0.500000
19,0.300000,2.000000,1.500000
20,0.600000,-2.000000,-1.500000
21,0.600000,-2.000000,-0.500000
22,0.600000,-2.000000,0.500000
23,0.600000,-2.000000,1.500000
24,0.600000,-1.000000,-1.500000
25,0.600000,-1.000000,-0.500000
26,0.600000,-1.000000,0.500000
27,0.600000,-1.000000,1.500000
28,0.600000,0.000000,-1.500000
29,0.600000,0.000000,-0.500000
30,0.600000,0.000000,0.500000
31,0.600000,0.000000,1.500000
32,0.600000,1.000000,-1.500000
33,0.600000,1.000000,-0.500000
34,0.600000,1.000000,0.500000
35,0.600000,1.000000,1.500000
36,0.600000,2.000000,-1.500000
37,0.600000,2.000000,-0.500000
38,0.600000,2.000000,0.500000
39,0.600000,2.000000,1.500000
40,0.900000,-2.000000,-1.500000
41,0.900000,-2.000000,-0.500000
42,0.900000,-2.000000,0.500000
43,0.900000,-2.000000,1.500000
44,0.900000,-1.000000,-1.500000
45,0.900000,-1.000000,-0.500000
46,0.900000,-1.000000,0.500000
47,0.900000,-1.000000,1.500000
48,0.900000,0.000000,-1.500000
49,0.900000,0.000000,-0.500000
50,0.900000,0.000000,0.500000
51,0.900000,0.000000,1.500000
52,0.900000,1.000000,-1.500000
53,0.900000,1.000000,-0.500000
54,0.900000,1.000000,0.500000
55,0.900000,1.000000,1.500000
56,0.900000,2.000000,-1.500000
57,0.900000,2.000000,-0.500000
58,0.900000,2.000000,0.500000
59,0.900000,2.000000,1.500000
60,1.200000,-2.000000,-1.500000
61,1.200000,-2.000000,-0.500000
62,1.200000,-2.000000,0.500000
63,1.200000,-2.000000,1.500000
64,1.200000,-1.000000,-1.500000
65,1.200000,-1.000000,-0.500000
66,1.200000,-1.000000,0.500000
67,1.200000,-1.000000,1.500000
68,1.200000,0.000000,-1.500000
69,1.200000,0.000000,-0.500000
70,1.200000,0.000000,0.500000
71,1.200000,0.000000,1.500000
72,1.200000,1.000000,-1.500000
73,1.200000,1.000000,-0.500000
74,1.200000,1.000000,0.500000
75,1.200000,1.000000,1.500000
76,1.200000,2.000000,-1.500000
77,1.200000,2.000000,-0.500000
78,1.200000,2.000000,0.500000
79,1.200000,2.000000,1.500000
80,1.500000,-2.000000,-1.500000
81,1.500000,-2.000000,-0.500000
82,1.500000,-2.000000,0.500000
83,1.500000,-2.000000,1.500000
84,1.500000,-1.000000,-1.500000
85,1.500000,-1.000000,-0.500000
86,1.500000,-1.000000,0.500000
87,1.500000,-1.000000,1.500000
88,1.500000,0.000000,-1.500000
89,1.500000,0.000000,-0.500000
90,1.500000,0.000000,0.500000
91,1.500000,0.000000,1.500000
92,1.500000,1.000000,-1.500000
93,1.500000,1.000000,-0.500000
94,1.500000,1.000000,0.500000
95,1.500000,1.000000,1.500000
96,1.500000,2.000000,-1.500000
97,1.500000,2.000000,-0.500000
98,1.500000,2.000000,0.500000
99,1.500000,2.000000,1.500000
